

Output
XYX 9892
HLG 6861
PZF 4149
LXH 0736
ZWC 4053
WYK 5257
DKC 9362
BPW 0406
ZXK 8505
RZA 8243
CVJ 3504
KLL 6224
XYD 0609
UEN 9532
HCX 8990
NEE 9478
ORB 6805
CFO 7600
JEJ 9201
CUG 0784
PQU 3985
WMQ 7816
ESQ 3871
VUG 6075
PDT 3438
Aug-65
WAU 5154
XRR 2930
BWN 3364
OCR 6693
QEV 8791
IHO 2107
NYR 1380
NCW 8115
WEK 2826
HHN 7492
RSU 1528
AWW 7359
EZS 0712
XCC 4208
CMF 7622
QSW 8800
PSS 7371
GXF 1052
OWO 3693
HTB 5612
CWK 7441
JRX 6680
QOD 2349
ZRQ 9565
UIN 6265
GWK 5141
QEE 7489
HRL 0488
ONE 9913
PRR 8544
NGM 8958
UMI 6763
OYV 1880
LWM 6620
FCJ 4136
NVO 5650
QXY 7816
FFZ 6636
VIJ 5122
AZD 7979
TUJ 2929
UVF 9019
NOL 8367
XPR 8560
BSO 8930
KUQ 4215
BVQ 7585
OHR 3660
EAK 0076
PYA 0635
ACA 2625
TEJ 3714
GFD 4541
SOU 0236
ZUW 1141
AFX 8352
ORV 5521
YDD 4727
ZWI 3167
KJD 3773
UCG 4324
ILJ 7946
GYF 1378
MML 5376
XTN 1285
UKQ 2407
WNT 0635
VAN 1388
DNT 6986
FZA 7840
GIO 1335
FZL 0750
PTV 8326
MMM 2431
VOR 9294
TML 6045
GET 6495
QTR 4504
SAL 0605
GDF 7362
AGZ 5891
TMK 7426
BAY 2969
DKV 6677
PUC 1058
XYM 3298
WNK 8494
DLA 8020
FLJ 6550
MMA 9610
HVD 0503
BRY 2017
PBT 3386
ZSW 2121
LGI 8661
ZUF 0046
GXF 3190
DAH 5803
XPQ 3010
DUD 9990
BDR 9437
WCT 2180
VRL 8214
TTQ 9018
TSA 0959
WLG 5162
AJW 7754
WKH 5831
NAX 3003
ZJO 7439
JYL 3096
TCH 9268
KRK 9191
MYJ 8230
VXZ 7018
FVI 1310
NIL 6874
AQD 8752
INJ 3462
NFT 4575
QOK 2363
XRA 6036
UOI 7895
MZT 0107
HVN 0754
MEN 1567
YNK 0743
FCS 2959
KLE 9310
CTO 1315
AMI 1621
VKE 0950
HIM 1386
BPP 4544
WFD 6999
TLW 9569
HRL 7222
EZN 6918
HZM 5085
YZZ 6028
KJD 5991
NSO 4397
NBH 1714
PWE 5856
BAA 1492
OEU 5393
KAL 5363
MJS 2928
MUW 1813
VKE 4920
OAV 4296
ZJI 3544
BGH 8015
ZBE 1645
KLV 2101
NPL 0463
YVI 4749
YWT 8084
ZVN 7962
LQW 5241
DPX 0592
BEI 6388
OTP 6359
GPE 2189
MOZ 5666
HNL 9351
UQQ 1028
ZFI 4429
BMZ 6003
PCJ 9095
TTS 2904
TPW 2163
SKS 1481
FWC 7012
AKQ 7705
DTP 6827
VJS 7994
IUH 1812
SVF 5002
IKK 8749
RVS 3344
RCV 5717
KTE 1563
GPV 7039
FFO 1736
DJM 1907
QBU 9781
JEZ 5284
LDS 8210
LZW 9237
XJY 8780
NNF 4405
CZN 8550
FDF 4101
ARW 8116
GZL 6884
WDF 1706
DXF 0981
DRG 1201
HES 3134
BQC 6416
JWA 1926
LPR 1270
ACO 6451
GCH 7001
ZQZ 9011
JUJ 2302
HRL 3314
QTV 4689
LIW 0145
ZOI 1030
ABA 6456
LRL 5583
NRP 8541
ZNA 7399
CQL 9816
TRH 8110
EUI 9331
GDD 7920
KZL 0341
BXY 2506
MKW 8312
CMO 9657
DDV 6603
XEI 6600
EPU 9427
IPD 5624
YCF 7882
WHT 0474
KOH 9970
FLX 2868
JXM 5023
JHS 4515
KHM 6440
JRF 7108
LMZ 0365
ACG 4710
KWG 9670
TYZ 2041
KGE 7504
ORR 1228
XHD 4766
VHX 1175
BNA 2277
OFU 3219
UCT 3239
EPZ 2127
FTJ 3003
DDB 1111
CLL 8290
LZY 8059
DHV 2781
DTY 8743
LVO 7251
GQX 4277
CWR 8160
GEX 1404
JHO 8159
DPL 8479
XHJ 8959
UIA 7750
EZE 9547
DRC 8308
WKD 9449
BKR 2809
ZUA 6247
BVY 6060
JJA 5225
GCH 7120
MOL 1301
MNV 1483
VQX 3292
PRC 2315
ZDV 1460
ZPY 0270
ZSO 2215
OEU 3560
SGA 7128
MUJ 1116
OUL 4530
BUZ 9223
VUG 6107
AOM 4597
DCO 0572
KAG 2656
JPE 0340
RVG 2000
IWW 6090
JCV 9273
WVJ 3762
NTV 5638
KLU 1149
MIE 1032
BZL 6141
STG 9694
AFV 6027
FSP 7554
HMY 1899
BHS 1811
BBA 7171
XMM 8975
KJT 9208
MUT 9016
ITU 6985
JFP 8470
JXD 7510
GPF 7781
NJS 8732
HIW 6803
UTV 9669
QGA 3582
ZXF 1613
GFH 0955
IRG 4369
OIQ 7073
DVA 0463
TYJ 7737
TEM 8628
BAG 5882
BYC 7501
PZR 3171
ZUG 9685
WMY 3351
ENG 9176
LSW 2077
NBL 3845
NTE 3813
BGP 1688
ISJ 2157
CZB 3030
EXQ 1816
ANX 1423
YZL 2908
PIE 6945
HJG 0714
UGQ 9603
VQI 1056
CDW 5769
IUT 6963
XXC 5413
TTY 9274
YXP 1054
HCD 7104
WWZ 7155
TAZ 3066
LEQ 6157
QTE 5021
JGV 7735
ELZ 3013
NPH 5174
ITN 1508
GXK 6366
MCQ 8582
GTU 7396
QFZ 7871
VDZ 0800
UOG 1721
AAV 7818
SPH 8267
MZO 0697
RTX 8641
CYH 4319
SRI 1757
YQJ 0303
ICW 1261
MCJ 1929
MOX 4361
EWW 0214
WRD 1388
SAG 6276
HSZ 4058
BTA 0328
XIW 3294
ZHB 2234
ARI 2295
COI 6046
WNE 4490
ZVE 8670
NHO 6647
OLD 0486
EWD 5564
RDY 6287
HNJ 2300
LBK 0005
UPN 8241
DCZ 3107
EQG 6143
KTA 6585
JQS 0561
PPO 1801
JFN 4016
VSB 2619
XYX 5223
GAZ 8565
PLC 5370
YFE 1544
OAV 3250
VUX 4742
EWS 6711
EUW 1529
HKE 6600
OHT 4882
CSU 6633
UXN 8205
PPU 7526
CRE 6671
BDD 7091
MJI 4636
EJD 0130
VGB 5395
GAI 3302
CQJ 6562
EBH 7582
LXH 8614
LUW 1845
ATV 6050
RZK 1314
HZX 3906
XMW 6856
FNY 2769
RRL 2497
URM 5010
JUE 1995
YEW 0773
PFA 3182
RRP 6771
LMX 7195
YTE 1315
ITI 1414
UHT 5075
RQI 0060
MDD 5665
VAF 6953
SPR 9017
ZOF 5945
GDB 9835
RSC 9439
TIT 6064
LEQ 7303
PAF 5589
DXJ 5814
TEA 6918
EYZ 2118
FJA 4448
TWJ 3460
OOF 8305
RZA 3778
AEM 5875
YCW 1801
LUN 5105
RUF 3076
SSG 0634
GYH 6307
SQV 0493
XOK 9942
FFY 6692
LXF 3519
THQ 5981
STK 3854
ZWQ 6912
HBQ 9703
YZH 8373
ODG 6335
MQR 4621
AZF 8599
JCJ 3967
ZVT 7700
JFI 7246
VKL 5279
ENE 4201
RVE 1117
UBP 8882
EOL 8012
IGF 3324
BEZ 3298
OAP 3574
BUP 9028
XKD 8010
IJV 8552
LWD 4961
XVR 5239
HUF 1936
WQE 0452
EDK 7834
EMU 9830
SMM 0829
GDM 3568
FVD 7267
ERQ 1410
IJS 5251
IEO 8161
BSX 6875
YQK 1464
YZH 0758
PVY 7037
ASG 0782
NFD 1489
KYZ 7500
NVY 3821
ODQ 3684
BUN 8406
HCD 8927
SEJ 2455
XIR 8315
KII 9667
SRG 7137
AMR 0283
GOW 9050
AGS 7675
ZDQ 7315
NVY 1659
LJV 2853
TEH 2648
EKW 2570
NAM 0683
AVW 1166
KZE 8237
SOM 6263
CGI 0523
AUR 7710
KNV 4963
QWO 0607
HAD 3785
XAD 0713
LBY 0404
WDS 4528
XPM 8111
USQ 9882
ETU 8933
RHK 8505
HXT 0850
HCT 5976
OYG 1460
ZAR 0026
TGF 8178
XGO 6307
HVY 8701
LTZ 1120
AVG 0679
LZH 3606
DLF 5234
JPY 1875
BDL 1914
YCB 6870
VDD 7637
BPX 5489
TRT 3219
GFT 3514
YJS 4860
IPR 7826
PRR 4704
IDS 3686
KLY 5569
BKE 5067
LNL 9047
YJD 9004
TRW 7262
VBE 8114
TIL 4914
BFA 5593
PIW 3457
AWW 5105
MYT 5054
WGH 4179
UDX 8246
FCX 9706
ZJQ 3968
ALL 8040
JKA 1299
KUZ 7076
IQM 4667
NIB 8481
YIT 4972
JMM 1626
KUF 6340
BWG 6343
FUI 5315
CUN 6719
QSM 3406
IEF 3888
FSV 7397
AWX 0921
FMC 7052
WAP 8110
ZRA 5161
GAP 0038
FPP 9107
PLI 2370
ERW 6410
FNZ 3539
CWR 5592
GGC 8301
ONT 7267
OJH 4389
MII 7502
EGX 9214
PXN 6120
YZF 0052
BKN 8554
UHN 6071
IQN 7861
RQD 1977
ESJ 2541
ICV 5671
ZSH 0084
JIE 9036
IHK 7152
OFQ 3062
VNV 1925
CJW 5739
DJR 5872
ELA 7350
XNW 1381
TAY 1256
HVP 8899
CUP 0299
TGZ 8742
PYF 1451
IRG 9371
KEO 6816
ZUG 1570
GLW 2239
MKJ 9797
MZB 2798
MZW 2741
MSM 2798
WDO 6227
HMT 4203
HLP 6097
QGG 9331
XBJ 0232
OAH 2291
GZL 2637
XTQ 7773
BIS 4057
XEK 8043
GEI 9715
HJK 2145
TEH 0619
IXC 8109
DBH 4258
GGL 6398
CUW 5002
XFH 1519
JHY 1581
PWK 1695
KUP 3174
UAK 0044
AIL 3725
CHM 3626
HHC 5102
ENV 9901
WRM 1175
CDO 3565
XUC 6007
MWV 1440
EIX 9548
RQK 1893
GOE 1867
BPB 4023
GFM 8261
ICJ 6923
QUK 8723
FVG 8695
OLV 8210
UKR 2258
PGF 0759
VQQ 0302
LJR 5233
TBC 0729
XGF 9008
OEG 1324
ROX 3777
ZSF 0891
VNT 6851
CLM 2762
LUB 7054
URO 0730
QSA 7186
BSS 0272
PED 4419
ZZM 5810
YDP 1291
DHT 2818
HLC 8917
GUP 9726
HDI 0869
UJM 0249
RJR 4895
JCR 9970
KVE 3102
MKI 6160
ZON 9408
OWO 3696
OTJ 9759
CVF 5100
VMU 6587
JPD 9754
TPO 2955
WIR 6098
ZYV 9529
IQZ 9949
TFN 7288
AFK 5643
RCO 7162
MEZ 1716
VGP 6609
MBR 5499
UBQ 2485
LRG 9759
XVV 2853
LDV 3377
CTT 1962
MLH 6577
IZJ 8463
PXZ 4224
RHK 1935
RRT 2401
MGJ 8446
FXJ 2467
MAN 5339
RSH 8758
